"MENU NAME","OPTION NUMBER","TYPE M/C/P","OPTION DESCRIPTION ENGLISH","OPTION DESCRIPTION FRENCH","OPTION DESCRIPTION SPANISH","COMMAND TO PROCESS OPTION","EFFECTIVE DATE OF OPTION","Hidden Needs Special Auth","Update Option =U","Usage Type R/I/M"
"DSJOBM01R",7,"P","Ship To File Listing","Liste de fichiers expédier à","Listado de Domicilios de Despacho","CALL ARB051MU","2005-02-12","N","N",""
"DSJOBM01R",8,"P","Customer Item File Listing","Liste de fichiers d'articles - client","Listado de Items del Cliente","CALL PCB226MU","2005-02-12","N","N",""
"DSJOBM01R",9,"C","Calculate Check Digit","Calculer chiffre de contrôle","Calcular Digito Verificador","CALL OES100","2005-02-12","N","N",""
"DSJOBM01R",10,"P","Reg Cust Item Stock Status","État des stocks articles clients régionaux","Estado de Inventario de Items de Clientes Regionales","CALL PC0230MU","2005-02-12","N","N",""
"DSJOBM01R",11,"P","Create Catalog Mailing List","Créer liste de diffusion catalogue","Crear catalogo para correo","CALL DSML001MU","2005-02-12","N","N",""
"DSJOBM01R",12,"P","852 Usage Spreadsheet","Feuille de calcul aux fins de 852","852 Usage Spreadsheet","CALL ARB100MU","2009-06-06","N","N",""
"DSJOBM01R",60,"M","Customer On Line Menu","Menu en ligne client","Menu de Clientes","DSJOBM01","2005-02-12","N","N",""
"DSJOBM01R",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM011",1,"P","Roundys Warehouse Racking Labels","Étiquettes de rayonnage de l'entrepôt Roundys","Etiquetas para Racks de Bodega Roundys","CALL LB0003MU","2005-04-15","N","N",""
"DSJOBM011",2,"C","Staples Cube Report","Rapport cube Bureau en gros","Reporte de cubicaje de Staples","CALL RTS001CL PARM('STAPLES')","2005-07-03","N","N",""
"DSJOBM011",3,"C","Quill Cube Report","Rapport cube Quill","Reporte de cubicaje de Quill","CALL RTS001CL PARM('QUILL')","2005-07-03","N","N",""
"DSJOBM011",4,"C","McLanes Cube Report","Rapport cube McLanes","Reporte de cubicaje de Mclanes","CALL RTS001CL 'MCLANE'","2005-02-12","N","Y",""
"DSJOBM011",5,"P","Invoice Detail Spreadsheet Email","Courriel feuille de calcul détaillé de la facture","Correo de Hoja de Calculo con Detalle de Factura","CALL HBC000MU","2007-02-10","N","N",""
"DSJOBM011",6,"P","Invoice Summary Spreadsheet Email","Courriel feuille de calcul sommaire de la facture","Correo de Hoja de Calculo con Sumario de Factura","CALL HBC000MU1","2007-02-10","N","N",""
"DSJOBM011",7,"P","Order Guide Spreadsheet Email","Courriel feuille de calcul du guide ce commande","Correo de Hoja de Calculo de Guías de Pedido","CALL VIA000MU","2006-12-06","N","N",""
"DSJOBM011",8,"P","Canadian Aramark V-Trak File","Fichier Canadian Aramark V-Trak","Archivo Canadiense Aramark V-Trak","CALL DSA001MU","2006-12-30","N","N",""
"DSJOBM011",9,"P","Aramark Price Quote Creation","Création devis Aramark","creación de Cotizaciones de Precios Aramark","CALL QOC001MU","2007-04-21","N","Y",""
"DSJOBM011",10,"C","FoodHandler SDS Audit","Vérification FDS FoodHandler","FoodHandler SDS Audit","CALL SDSSA01","2013-04-17","N","Y",""
"DSJOBM011",17,"P","FoodHandler Billnet Report","Rapport Billnet FoodHandler","FoodHandler Billnet Report","CALL AR0074MU","2013-12-20","N","N",""
"DSJOBM011",18,"C","FoodHandler Freight by Item Report","Rapport frets FoodHandler par article","Informe de Carga por Artículo","CALL FHFRPTI","2014-08-11","N","N",""
"DSJOBM011",20,"C","Maintain Customer Item Split Designation File","Mettre à jour fichier de désignation article fractionné client","Mtto de Designación de reparto de Item por Cliente","CALL ITS001","2006-01-28","N","Y",""
"DSJOBM011",21,"C","Customer Item Split Designation File Inquiry","Requête sur les fichiers de désignation articles fractionnés clients","Consulta de Designación de envío Partido del Cliente","CALL ITS002","2007-01-13","N","N",""
"DSJOBM011",22,"C","EDI Item Cross Reference Maintenance","Mise à jour renvois articles EDI","Mtto de Ref Cruzada de Items EDI","CALL EDIXRMMU1","2008-01-21","N","Y",""
"DSJOBM011",23,"C","EDI Item Cross Reference Inquiry","Requête sur les renvois articles EDI","Consulta de Ref Cruzada de Items EDI","CALL EDIXRMMU2","2008-01-21","N","N",""
"DSJOBM011",24,"C","Customer Fuel Surcharge Maintenance","Customer Fuel Surcharge Maintenance","Customer Fuel Surcharge Maintenance","CALL PGM(DFS001) PARM('M' 'C')","2020-02-27","N","U","M"
"DSJOBM011",25,"C","Customer Fuel Surcharge Inquiry","Customer Fuel Surcharge Inquiry","Customer Fuel Surcharge Inquiry","CALL PGM(DFS001) PARM('I' 'C')","2020-02-27","N","N","I"
"DSJOBM011",30,"C","McLane 07Y Data Load Division Exclusion Entry","Saisie de chargement de données de la division d'exclusion 07Y McLane","Ingreso de Carga de Datos de División Exclusión McLane","CALL EDL001 PARM('M')","2007-01-27","N","Y",""
"DSJOBM011",40,"C","Order Guide Documents Maintenance","Mise à jour documents de guide de commande","Order Guide Documents Maintenance","CALL DS0119 'M'","2010-04-10","N","Y",""
"DSJOBM011",41,"C","Order Guide Documents Inquiry","Requête sur les documents de guide de commande","Order Guide Documents Inquiry","CALL DS0119 'I'","2010-04-10","N","N",""
"DSJOBM011",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM02",1,"P","Post Cash Receipts","Reporter recettes de caisses","Procesar Recibos de Efectivo","CALL AR0008MU","2005-02-12","N","Y",""
"DSJOBM02",2,"P","Post A/R Adjustments","Reporter ajustement C/C","Procesar ajustes de CxC","CALL AR0009MU","2005-02-12","N","Y",""
"DSJOBM02",3,"C","Display A/R File","Afficher fichier C/C","Desplegar estado de CxC","CALL AR0006","2005-02-12","N","N",""
"DSJOBM02",4,"C","A/R Detail Transaction Inquiry","Requête sur les transactions détaillées C/C","Consulta de Transacciones detalladas de CxC","CALL AR0011MU","2005-02-12","N","N",""
"DSJOBM02",5,"C","Display Cash Receipts Batch Status","Afficher état du lot de rentrées de fonds","Desplegar estado del lote de Recibos de Efectivo","CALL AR0007MU","2005-02-12","N","N",""
"DSJOBM02",6,"C","Display A/R Adjustment Batch Status","Afficher état du lot ajustements C/C","Desplegar estado del lote de ajustes de CxC","CALL AR00071MU","2005-02-12","N","N",""
"DSJOBM02",7,"C","Customer Check Application Inquiry","Requête sur la demande de chèque du client","Consulta de la revisión de aplicación del Cliente","CALL AR0010","2005-02-12","N","N",""
"DSJOBM02",8,"C","A/R Payment & Adjustment Summary Total Display","Afficher total sommaire paiement et ajustement C/C","Desplegar Resumen Total de Pagos y Ajustes de CxC","CALL AR0013","2005-02-12","N","N",""
"DSJOBM02",9,"C","Outstanding Invoice by Purchase Order Number","Facture en souffrance selon le numéro de commande d'achat","Facturas en transito por numero de orden de compra","CALL AR0060","2005-02-12","N","N",""
"DSJOBM02",10,"C","Credit Card Transaction Inquiry","Requête sur les transactions de carte de crédit","Consulta de Transacciones de Tarjeta de Crédito","CALL CC0102CL PARM('         ')","2016-10-04","N","N",""
"DSJOBM02",11,"P","Post Credit Card Receipt","Reporter reçu carte de crédit","Procesar recibo de tarjetas de Crédito","CALL ARCC01MU","2005-02-12","N","Y",""
"DSJOBM02",12,"C","Display Credit Card Batch Status","Afficher état du lot de cartes de crédit","Desplegar estado de Lote de tarjetas de Crédito","CALL AR00072MU","2005-02-12","N","N",""
"DSJOBM02",13,"C","Review Daily Credit Card Receipts","Revoir reçus journaliers cartes de crédit","Revisar Recibos diarios de Tarjeta de Crédito","CALL ARCC02 PARM('CC')","2005-02-12","N","N",""
"DSJOBM02",14,"C","TeleCheck Transaction Inquiry","Requête sur les transactions TeleCheck","Consulta de Transacciones de TeleCheck","CALL CK0102 PARM('                ')","2005-02-12","N","N",""
"DSJOBM02",15,"C","Display TeleCheck Batch Status","Afficher état du lot TeleCheck","Desplegar estado de Lote de TeleCheck","CALL AR00073MU","2005-02-12","N","N",""
"DSJOBM02",16,"C","Post TeleCheck Receipts","Reporter reçus TeleCheck","Procesar recibos de TeleCheck","CALL ARCC01 PARM('CK')","2005-02-12","N","Y",""
"DSJOBM02",17,"C","Display Intercompany Batch Status","Afficher état du lot interentreprises","Display Intercompany Batch Status","CALL AR00074MU","2013-02-27","N","N",""
"DSJOBM02",18,"P","Intercompany A/R Batch Maintenance","Mettre à jour lot C/C interentreprises","Intercompany A/R Batch Maintenance","CALL AR0008MUI","2014-03-28","N","N",""
"DSJOBM02",19,"C","Maintain A/R Statement Messages Data Area","Mettre à jour zone de données des relevés de compte C/C","Maintain A/R Statement Messages Data Area","CALL ARSTMMSG","2015-09-25","N","U",""
"DSJOBM02",20,"C","A/R Consolidated Invoice Transaction Inquiry","A/R Consolidated Invoice Transaction Inquiry","A/R Consolidated Invoice Transaction Inquiry","CALL AR0042MU","2017-08-25","N","N","I"
"DSJOBM02",60,"M","A/R Report Menu","Menu rapports C/C","Menu de Reportes de CxC","DSJOBM02R","2005-02-12","N","N",""
"DSJOBM02",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM02R",1,"C","Print A/R Cash Worksheets","Imprimer feuilles de travail compte caisse C/C","Imprimir Hoja de Trabajo del efectivo de CxC","CALL AR0019","2005-02-12","N","N",""
"DSJOBM02R",2,"P","Print A/R Aging Reports","Imprimer rapports de classement chronologique C/C","Imprimir Antigüedad de Saldos de CxC","CALL AR0015MU","2005-02-12","N","N",""
"DSJOBM02R",3,"P","Consolidated Invoice Register","Registre de factures consolidées","Registro de Facturas Consolidadas","CALL AR0033MU","2007-03-10","N","N",""
"DSJOBM02R",4,"P","Print NON A/R Cash Transactions","Imprimer transactions au comptant non C/C","Imprimir Transacciones de NO efectivo de CxC","CALL AR0017MU","2005-02-12","N","N",""
"DSJOBM02R",5,"P","Print A/R Aging Report & Create TRW Data File","Imprimer rapport classement chrono C/C et créer fichier données TRW","Imprimir Antigüedad de Saldos de CxC y crear archivo TRW","CALL AR0039MU","2005-02-12","N","N",""
"DSJOBM02R",6,"P","Customer Unearned Discount","Intérêt payé d'avance clients","Listado de Descuentos de Clientes no Validos","CALL ARB054P2MU","2005-02-12","N","N",""
"DSJOBM02R",8,"P","Print A/R Cash Discount Report","Imprimer rapport escomptes de caisse C/C","Imprimir Reporte de Descuentos en efectivo de CxC","CALL AR0051MU","2005-02-12","N","N",""
"DSJOBM02R",9,"P","Print Customers Over Credit Limit","Imprimer clients au-dessus de la limite de crédit","Imprimir Clientes arriba de Limite de Crédito","CALL ARB061MU","2005-02-12","N","N",""
"DSJOBM02R",10,"P","Print Payment with Order Discrepancies Report","Imprimer paiements avec rapport d'écarts de commande","Imprimir Reporte de Pagos con diferencias en la orden","CALL AR0027MU","2005-02-12","N","N",""
"DSJOBM02R",12,"P","Print Credit/Debit Balance Report","Imprimer rapport de solde crédit/débit","Imprimir Reporte del balance de Ceditos-Debitos","CALL ARB299MU","2005-02-12","N","N",""
"DSJOBM02R",13,"P","Print/Email A/R Payment Activity Report","Imprimer/courrieller rapport d'activités de paiement C/C","Imprimir Reporte de Actividad de pagos por email de CxC","CALL AR0090MU","2005-02-12","N","N",""
"DSJOBM02R",14,"P","Email Invoices","Courrieller factures","Facturas por Correo Electrónico","CALL AR0095MU","2006-07-29","N","N",""
"DSJOBM02R",15,"P","Email Invoices By Invoice # Range","Courrieller factures par tranche de numéros de facture","Email Invoices By Invoice # Range","CALL AR0096MU2","2010-04-03","N","N",""
"DSJOBM02R",60,"M","A/R On Line Menu","Menu en ligne C/C","Menu de Cuentas por Cobrar","DSJOBM02","2005-02-12","N","N",""
"DSJOBM02R",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM03",1,"P","Order Entry & Changes","Saisie et modifications de commandes","Ingreso de Pedidos y Cambios","CALL OE0001MU","2005-02-12","N","Y",""
"DSJOBM03",2,"P","Order Inquiry","Requête sur les commandes","Consulta de Pedidos","CALL OE0002OMU","2005-02-12","N","N",""
"DSJOBM03",3,"P","Review/Release Orders On Hold","Revoir/libérer er commandes en attente","Revisar y Liberar Pedidos Retenidos","CALL OE0010MU","2005-02-12","N","Y",""
"DSJOBM03",4,"P","Review/Release Future Orders","Revoir/libérer commandes futures","Review/Release Future Orders","CALL OE0022MU","2013-08-30","N","N",""
"DSJOBM03",5,"P","Print Picking Lists","Imprimer liste de prélèvements","Imprimir Facturación y Orden de Surtido","CALL OE0030MU","2005-02-12","N","Y",""
"DSJOBM03",6,"P","Customer Sell Price Inquiry","Requête sur le prix de vente client","Consulta de Precios de Venta de Cliente","CALL OE0015MU","2005-02-12","N","N",""
"DSJOBM03",7,"C","Customer Pending Price Maint.","Mise à jour des prix en cours d'examen des clients","Mtto de precios pendientes por Cliente","CALL PM0001","2005-02-12","N","Y",""
"DSJOBM03",9,"C","Item Price Inquiry","Requête sur le prix d'article","Consulta de Precios","CALL PC0205","2006-09-23","N","N",""
"DSJOBM03",10,"P","Confirm Shipments","Confirmer expéditions","Confirmar Envíos","CALL OE0007AMU","2005-02-12","N","Y",""
"DSJOBM03",11,"C","Debit/Credit Memo Entry & Changes","Saisie et modifications notes de débit/crédit","Ingreso y Cambios de Notas de Crédito y Debito","CALL OE0019","2005-02-12","N","Y",""
"DSJOBM03",12,"P","Debit/Credit Memo Inquiry","Requête sur les notes de débit/crédit","Consulta de Notas de Crédito y Debito","CALL OE0002CMU","2005-02-12","N","N",""
"DSJOBM03",13,"P","Print Invoices Or DB/CR Memos","Imprimer factures ou notes DB/CR","Imprimir Facturas o Notas de Crédito y Debito","CALL OE0009MU","2005-02-12","N","N",""
"DSJOBM03",14,"C","Change Invoice Message Text","Changer message texte de la facture","Cambiar el mensaje de texto en Facturas","CALL OE0008","2005-02-12","N","Y",""
"DSJOBM03",15,"P","Overallocation Maintenance","Mise à jour surimputations","Mantenimiento de Reubicación de Items","CALL OE0036OMU","2005-02-12","N","Y",""
"DSJOBM03",18,"P","Automatic Backorder Allocation","Répartition automatique commandes en souffrance","Reubicación Automática de pedidos incompletas","CALL BDS0038MU","2005-02-12","N","N",""
"DSJOBM03",20,"P","Release Future Orders","Libérer commandes futures","Liberar ordenes Futuras","CALL OE0048MU","2005-02-12","N","Y",""
"DSJOBM03",21,"P","Allocate Qty To Split Pkg B/O","Répartir qté pour fractionner pqt en commande","Ubicar cantidad de paquete dividido de pedidos incompletas","CALL INB090MU","2005-02-12","N","N",""
"DSJOBM03",22,"P","Print or Send Order Confirmation","Imprimer ou envoyer confirmation commandes","Imprimir o enviar confirmación de pedidos","CALL OE0025PMU","2005-02-12","N","N",""
"DSJOBM03",23,"P","Truck Over Allocation Maintenance","Mise à jour affectation excédentaire de camions","Mtto de reubicación de camiones","CALL ER0010MU","2005-11-21","N","Y",""
"DSJOBM03",30,"P","Price Quote Inquiry","Requête sur les devis","Price Quote Inquiry","CALL QO0001MU2","2005-02-12","N","N",""
"DSJOBM03",31,"C","Multi-Tiered Trade Discount Inquiry","Requête sur les remises commerciales à plusieurs niv.","Multi-Tiered Trade Discount Inquiry","CALL TDT001 PARM('I')","2011-11-22","N","N",""
"DSJOBM03",34,"C","Frosty Acres Order without Memo Number Maintenance","Mise à jour commande Frosty Acres sans numéro de l'avoir","Frosty Acres Order without Memo Number Maintenance","CALL PGM(WSC003) PARM('M')","2012-08-24","N","Y",""
"DSJOBM03",35,"C","Frosty Acres Order without Memo Number Inquiry","Requête Frosty Acres sans numéro d'avoir","Frosty Acres Order without Memo Number Inquiry","CALL PGM(WSC003) PARM('I')","2012-08-24","N","N",""
"DSJOBM03",36,"P","Order Details Template Request","Demande de modèle de détails de commande","Solicitud de plantilla de detalles de pedido","CALL PGM(ORDT01CL)","2022-10-14","N","Y",""
"DSJOBM03",37,"P","Order Details Spreadsheet Upload","Téléchargement de la feuille de calcul des détails de la commande","Detalles del pedido Subir hoja de cálculo","CALL PGM(ORDT02CL)","2022-10-14","N","Y",""
"DSJOBM03",47,"C","Batch Orders Special Review - GENTRAN","Batch Orders Special Review - GENTRAN","Batch Orders Special Review - GENTRAN","CALL EDIS00CL","2023-08-11","N","N","M"
"DSJOBM03",48,"P","Manual POA Acknowledgements","Confirmations manuelles de commandes d'achat","Manual POA Acknowledgements","CALL EPOA100","2012-11-09","N","Y",""
"DSJOBM03",49,"P","Batch Orders Special/Location Review","Batch Orders Special/Location Review","Batch Orders Special/Location Review","CALL EIR001MU","2023-08-11","N","N","M"
"DSJOBM03",50,"P","Batch Order Processing","Traitement commandes par lot","Procesamiento de Lote de pedidos","CALL OEB037MU","2005-02-12","N","N",""
"DSJOBM03",51,"P","Route Inquiry","Requête sur les routes","Consulta de Rutas","CALL RT0004MU","2005-02-12","N","N",""
"DSJOBM03",52,"P","Overallocation For Non Stocks","Surimputation pour articles hors stock","Reubicación para items fuera de línea","CALL OE0038OMU","2005-02-12","N","N",""
"DSJOBM03",53,"P","Order Duplication Maintenance","Mise à jour doublons de commandes","Mtto de Pedidos Duplicados","CALL OE0024MU","2005-02-12","N","Y",""
"DSJOBM03",54,"P","Extract ECatalog Orders","Extraire commandes du catalogue élec.","Extract ECatalog Orders","CALL PGM(ECOITN01CL)","2012-05-11","N","N",""
"DSJOBM03",55,"P","Customer Order Details Allocation Maintenance","Gestion des allocations des détails de la commande client","Mantenimiento de la asignación de los detalles del pedido del cliente","CALL PGM(ITMGR09MU)","2023-09-29","N","Y",""
"DSJOBM03",60,"M","Customer Order Report Menu","Menu rapport commandes client","Menu de Reportes de Pedidos de Clientes","DSJOBM03R","2005-02-12","N","N",""
"DSJOBM03",61,"P","Convert Normal order to Drop Ship","Convertir la commande normale en livraison directe","Convertir pedido normal en envío directo","CALL OEB037ND","2022-02-25","N","Y",""
"DSJOBM03",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM03R",1,"P","Print Back Order Reports","Imprimer rapports de commandes en souffrance","Imprimir Reporte de Pedidos Incompletas","CALL OEB008MU","2005-02-12","N","N",""
"DSJOBM03R",2,"P","Print Open Customer Order Report","Imprimer rapport commandes permanentes client","Imprimir Reporte de Pedidos Abiertos","CALL OEB015MU","2005-02-12","N","N",""
"DSJOBM03R",3,"P","Print Sales Order Disposition Report","Imprimer rapport disposition commandes client","Imprimir Reporte de Dispersión de Pedidos","CALL OEB035MU","2005-02-12","N","N",""
"DSJOBM03R",4,"P","Print Inventory Overallocation Report","Imprimer rapport surimputation inventaire","Imprimir Reporte de Reubicación de Inventario","CALL OEB039MU","2005-02-12","N","N",""
"DSJOBM03R",5,"P","Inventory Allocation Spreadsheet","Feuille de calcul de répartition des stocks","Hoja de cálculo de asignación de inventario","CALL PGM(ITMGR08MU)","2023-03-09","N","Y",""
"DSJOBM03R",7,"P","Reprint Invoices Or Credit Memos","Réimprimer factures ou notes de crédit","Re imprimir facturas o notas de crédito","CALL OE0003MU","2005-02-12","N","N",""
"DSJOBM03R",8,"P","Freight Charge Audit Report","Rapport d'audit de frais de transport","Reporte de Auditoria sobre cargos de Flete","CALL OE0054MU","2005-02-12","N","N",""
"DSJOBM03R",9,"P","Print Customer Fill Rate Report","Imprimer rapport taux de couverture client","Imprimir reporte de cumplimiento con el Cliente","CALL OEB058PMU","2005-02-12","N","N",""
"DSJOBM03R",10,"P","Missing Customer Orders for Ship date","Commandes de clients manquants pour date d'exp.","Clientes sin pedido en fecha de envío","CALL OE0062MU","2005-02-12","N","N",""
"DSJOBM03R",11,"P","Items With No Dept in Trade Discount File","Article sans rayon dans fichier remises commerciales","Items sin departamento en archivo de descuentos a clientes","CALL OE0064MU","2005-02-12","N","N",""
"DSJOBM03R",13,"P","Debit/Credit Report","Rapport débit/crédit","Reporte de Crédito o Debito","CALL AR0062MU","2005-02-12","N","N",""
"DSJOBM03R",14,"P","C.O.D. Invoice Report","Rapport factures contre remboursement","Reporte de Facturas de Contado","CALL AR0063MU","2005-02-12","N","N",""
"DSJOBM03R",15,"P","Below Minimum Report","Rapport inférieur au minimum","Reporte Abajo del Mínimo","CALL DS0511MU","2005-02-12","N","N",""
"DSJOBM03R",16,"P","Price/Case Report","Rapport prix/caisse","Reporte de Precio/Caja","CALL OE0099MU","2005-02-12","N","N",""
"DSJOBM03R",17,"P","Add On Charges Report","Rapport frais supplémentaires","Reporte de cargos extras","CALL AR0068MU","2005-02-12","N","N",""
"DSJOBM03R",18,"C","EDI Detail Report","Rapport détaillé EDI","Reporte Detallado de EDI","CALL EDIDSP01","2005-02-12","N","N",""
"DSJOBM03R",19,"P","EDI Location Review Report","EDI Location Review Report","EDI Location Review Report","CALL EIR200MU","2023-08-11","N","N","M"
"DSJOBM03R",20,"P","Freight Term Analysis","Analyse conditions de transport","Análisis de los términos de Flete","CALL OE0101MU","2005-02-12","N","N",""
"DSJOBM03R",21,"P","Taxable Bag Report","Taxable Bag Report","Taxable Bag Report","CALL TB0101MU","2017-03-10","N","Y","M"
"DSJOBM03R",22,"P","Daily Below Margin Report","Daily Below Margin Report","Daily Below Margin Report","CALL PGM(OE0601MU)","2020-05-29","N","N",""
"DSJOBM03R",23,"C","Freight-Fuel Add On Audit Report","Rapport d audit complémentaire fret-carburant","Informe de auditoría adicional de carga y combustible","CALL PGM(DFS003CL) PARM('C')","2024-07-25","N","N",""
"DSJOBM03R",24,"C","EDI Loc Review Report - GENTRAN","EDI Loc Review Report - GENTRAN","EDI Loc Review Report - GENTRAN","CALL EDIS11","2023-08-11","N","N","M"
"DSJOBM03R",60,"M","Customer Order On Line Menu","Menu commandes de clients en ligne","Menu de Pedidos de Clientes","DSJOBM03","2005-02-12","N","N",""
"DSJOBM03R",70,"M","Custom Order Reports","Rapports commandes sur mesure","Reportes de Pedidos a la medida","DSJOBM03R7","2005-02-12","N","N",""
"DSJOBM03R",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM03R7",2,"P","Whitson Discount Breakout-Discrepancy Report","Rapport de ventilation-d'écart remise Whitson","Whitson Discount Breakout-Discrepancy Report","CALL OE0069MU","2010-03-20","N","N",""
"DSJOBM03R7",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM04",1,"P","Inventory Master File Maintenance","Mise à jour fichiers maîtres inventaire","Mtto del maestro de Inventario","CALL IN0001MU","2005-02-12","N","Y",""
"DSJOBM04",2,"P","Inventory Master File Inquiry","Requête sur les fichiers maîtres inventaire","Consulta del maestro de Inventario","CALL IN0002MU","2005-02-12","N","N",""
"DSJOBM04",3,"P","Inventory Balance Inquiry","Requête sur la balance inventaire","Consulta de la valuación de Inventario","CALL IN0053MU","2005-02-12","N","N",""
"DSJOBM04",5,"P","Inventory Transfer Adjustments","Transférer ajustements inventaire","Ajustes de transferencias de Inventario","CALL IT0001MU1","2005-02-12","N","Y",""
"DSJOBM04",20,"P","Post Inventory Receipts Or In Transit","Reporter reçus d'inventaire ou en transit","Procesar recibos de Inventario o en Transito","CALL PO0010MU","2005-02-12","N","Y",""
"DSJOBM04",21,"P","Transaction History Inquiry","Requête sur l'historique de transactions","Consulta de la transacciones de Inventario","CALL IN0007MU","2005-02-12","N","N",""
"DSJOBM04",22,"P","Post Inventory Quantity Adjustments","Reporter ajustement quantité inventaire","Procesar Ajuste de Inventario","CALL IN0008MU1","2005-02-12","N","Y",""
"DSJOBM04",23,"P","Inventory Adjustment Register","Registre ajustement inventaire","Registro de Ajustes de Inventario","CALL DS001816MU","2005-02-12","N","N",""
"DSJOBM04",24,"P","Inventory Cycle Count Worksheet","Feuille de travail cycle inventaire","Hoja de Trabajo para Conteo Cíclico de Inventario","CALL DS001817MU","2005-02-12","N","N",""
"DSJOBM04",25,"P","Maintain Inventory Cycle Count Schedule","Mettre à jour l'horaire cycle inventaire","Mtto del Calendario de Conteo Cíclico de Inventario","CALL IN0015MU","2005-02-12","N","N",""
"DSJOBM04",26,"P","Post Inventory Cost Adjustments","Reporter ajustement coûts inventaire","Procesar ajustes de costo de Inventario","CALL IN0008MU2","2005-02-12","N","Y",""
"DSJOBM04",27,"P","Quantity Price Break Inquiry","Requête sur la réduction de prix à la quantité","Consulta de Niveles de precio","CALL IN0006MU","2005-02-12","N","N",""
"DSJOBM04",31,"P","Corporate Item Inquiry","Requête sur les articles d'entreprise","Consulta de Items Corporativos","CALL BR0020RMU","2005-02-12","N","N",""
"DSJOBM04",33,"C","Inv Master Field Update Audit Inquiry","Requête sur la vérification d'actualisation du champ maître inventaire","Consulta de Auditoria de Act de Campos de Inv","CALL IN0097","2007-01-20","N","N",""
"DSJOBM04",34,"P","French Abbreviation File Maintenance","Mise à jour fichier d'abréviations françaises","French Abbreviation File Maintenance","CALL SUMMTFRR","2014-06-06","N","N",""
"DSJOBM04",60,"M","Inventory Report Menu","Rapport menus inventaire","Menu de Reportes de Inventario","DSJOBM04R","2005-02-12","N","N",""
"DSJOBM04",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM04R",1,"P","Print Inventory Master File Listing","Imprimer liste de fichiers maîtres inventaire","Imprimir listado maestro de Inventario","CALL IN0017MU","2005-02-12","N","N",""
"DSJOBM04R",2,"P","Print Stock Status Report","Imprimer rapport d'état stock","Imprimir Reporte de estado de Inventario","CALL IN0021MU","2005-02-12","N","N",""
"DSJOBM04R",3,"P","Print LIFO Report","Imprimer rapport LIFO","Imprimir Reporte LIFO","CALL IN0047MU","2005-02-12","N","N",""
"DSJOBM04R",4,"P","Print Inventory Transaction History","Imprimer historique transactions inventaire","Imprimir Historial de Transacciones de Inventario","CALL IN0005MU","2005-02-12","N","N",""
"DSJOBM04R",5,"P","Print Inventory Balancing Report","Imprimer rapport de balance d'inventaire","Imprimir Reporte de valuación de Inventario","CALL DS018132MU","2005-02-12","N","N",""
"DSJOBM04R",6,"P","Print Aged Inventory Report","Imprimer rapport de classement chronologique inventaire","Imprimir Reporte de Antigüedad de Inventario","CALL DS018125MU","2005-02-12","N","N",""
"DSJOBM04R",7,"P","Print Inventory Ranking By On Hand Value","Imprimer rang inventaire selon la valeur en main","Imprimir Clasificación de Inventario por Existencia","CALL DS018104MU","2005-02-12","N","N",""
"DSJOBM04R",8,"P","Print Inventory Ranking By Sales","Imprimer rang inventaire par vente","Imprimir Clasificación de Inventario por Ventas","CALL DS018105MU","2005-02-12","N","N",""
"DSJOBM04R",9,"P","Print Surplus Inventory Report","Imprimer rapport de surplus d'inventaire","Imprimir Reporte de Excedente de Inventario","CALL DS018131MU","2005-02-12","N","N",""
"DSJOBM04R",10,"P","Print Inventory Overstock Report","Imprimer rapport de surstock","Imprimir Reporte de Sobre Inventario","CALL INB009MU","2005-02-12","N","N",""
"DSJOBM04R",11,"P","Print Inventory Analysis Report","Imprimer rapport d'analyse d'inventaire","Imprimir Reporte del Análisis de Inventario","CALL IN0035MU","2005-02-12","N","N",""
"DSJOBM04R",12,"P","Print Turn and Earn Report","Imprimer rapport Rotations et gains","Imprimir Reporte de Cambios y Merecidos","CALL DSB025MU","2005-02-12","N","N",""
"DSJOBM04R",13,"P","Vendor Sales Report","Rapport de ventes fournisseur","Reporte de Ventas por Proveedor","CALL VND001CLMU","2005-02-12","N","N",""
"DSJOBM04R",14,"P","Cycle Count Report","Rapport inventaire tournant","Reporte de Conteo Cíclico","CALL CC0001CLMU","2005-02-12","N","N",""
"DSJOBM04R",15,"P","New Items List","Liste de nouveaux articles","Lista de Items nuevos","CALL IN0095MU","2005-02-12","N","N",""
